,,25m,,50m,,100m,,250m,,500m,,1b,
"2^(⅐) [Native]",,0.823,"30,300,000",1.757,"28,400,000",3.708,"26,900,000",10.260,"24,300,000",22.177,"22,500,000",47.817,"20,900,000"
"2^(⅕) [Native]",,0.818,"30,500,000",1.742,"28,700,000",3.692,"27,000,000",10.237,"24,400,000",22.242,"22,400,000",47.698,"20,900,000"
"ArcCosh(e) [Log-Formula]",,43.022,"581,000",93.695,"533,000",204.789,"488,000",608.618,"410,000",1320.661,"378,000",2892.840,"345,000"
"ArcCoth(GoldenRatio) [Log-Formula]",,41.558,"601,000",90.571,"552,000",198.690,"503,000",580.147,"430,000",1289.788,"387,000",2827.116,"353,000"
"ArcSinh(e) [Log-Formula]",,43.098,"580,000",93.555,"534,000",204.045,"490,000",599.626,"416,000",1327.094,"376,000",2895.526,"345,000"
"ArcTanh(Pi^-1) [Log-Formula]",,41.638,"600,000",91.099,"548,000",198.037,"504,000",580.586,"430,000",1286.617,"388,000",2823.592,"354,000"
"ArcTanh(e^-1) [Log-Formula]",,42.435,"589,000",92.886,"538,000",203.467,"491,000",593.667,"421,000",1328.580,"376,000",2886.179,"346,000"
"BesselI(0,1) [Series]",,1.444,"17,300,000",3.204,"15,600,000",6.964,"14,300,000",18.450,"13,500,000",40.687,"12,200,000",88.839,"11,200,000"
"BesselJ(0,1) [Series]",,1.450,"17,200,000",3.215,"15,500,000",6.964,"14,300,000",18.473,"13,500,000",40.662,"12,200,000",89.170,"11,200,000"
"Bronze Ratio [Invsqrt]",,0.484,"51,600,000",1.025,"48,700,000",2.243,"44,500,000",6.133,"40,700,000",13.413,"37,200,000",29.472,"33,900,000"
"Catalan's Constant [guillera2019]",8,30.479,"820,000",70.705,"707,000",160.723,"622,000",476.525,"524,000",1079.355,"463,000",2449.513,"408,000"
"Catalan's Constant [pilehrood-short]",8,22.639,"1,100,000",51.961,"962,000",119.258,"838,000",353.211,"707,000",800.752,"624,000",1815.401,"550,000"
"Cbrt(2) [Native]",,0.681,"36,700,000",1.436,"34,800,000",3.115,"32,100,000",8.508,"29,300,000",18.520,"26,900,000",40.080,"24,900,000"
"Cbrt(2) [Native2]",,0.681,"36,700,000",1.439,"34,700,000",3.098,"32,200,000",8.635,"28,900,000",18.485,"27,000,000",39.950,"25,000,000"
"Cbrt(3) [Native]",,0.681,"36,700,000",1.451,"34,400,000",3.109,"32,100,000",8.626,"28,900,000",18.456,"27,000,000",40.189,"24,800,000"
"Cbrt(3) [Native2]",,0.702,"35,600,000",1.484,"33,600,000",3.222,"31,000,000",8.824,"28,300,000",18.895,"26,400,000",40.903,"24,400,000"
"Cos(1) [Half Angle Formula]",,1.518,"16,400,000",3.367,"14,800,000",7.241,"13,800,000",19.373,"12,900,000",42.791,"11,600,000",92.736,"10,700,000"
"Cos(1) [Series]",,1.468,"17,000,000",3.182,"15,700,000",6.983,"14,300,000",19.781,"12,600,000",43.162,"11,500,000",93.872,"10,600,000"
"Erf(1) [Series]",,8.051,"3,100,000",18.015,"2,770,000",39.511,"2,530,000",112.206,"2,220,000",247.845,"2,010,000",544.674,"1,830,000"
"Erf(1) [Series-e]",,9.535,"2,620,000",21.268,"2,350,000",47.430,"2,100,000",137.512,"1,810,000",304.142,"1,640,000",674.737,"1,480,000"
"Euler-Mascheroni Constant [brent-original]",3,134.345,"186,000",303.031,"164,000",691.356,"144,000",2689.688,"92,900",6080.880,"82,200",,
"Euler-Mascheroni Constant [brent-refined]",3,98.683,"253,000",223.585,"223,000",506.273,"197,000",1783.792,"140,000",4056.434,"123,000",,
"Gamma(¼) [AGM-Pi]",10,18.571,"1,340,000",40.013,"1,240,000",86.536,"1,150,000",252.648,"989,000",557.413,"897,000",1202.651,"831,000"
"Gamma(¼) [Series-Pi (Brown)]",10,37.579,"665,000",87.798,"569,000",202.146,"494,000",591.680,"422,000",1337.960,"373,000",2870.947,"348,000"
"Gamma(¾) [AGM-Pi]",,18.407,"1,350,000",39.890,"1,250,000",86.324,"1,150,000",253.248,"987,000",559.231,"894,000",1210.399,"826,000"
"Gamma(¾) [Series-Pi (Brown)]",,40.504,"617,000",92.169,"542,000",206.227,"484,000",601.056,"415,000",1348.233,"370,000",3044.362,"328,000"
"Gamma(⅓) [AGM-Pi]",11,21.764,"1,140,000",47.366,"1,050,000",103.878,"962,000",301.822,"828,000",667.984,"748,000",1446.431,"691,000"
"Gamma(⅓) [Series-Pi (Brown)]",11,16.551,"1,510,000",37.675,"1,320,000",85.938,"1,160,000",248.272,"1,000,000",559.256,"894,000",1247.056,"801,000"
"Gamma(⅔) [AGM-Pi]",,21.825,"1,140,000",47.079,"1,060,000",102.598,"974,000",300.841,"831,000",663.195,"753,000",1508.257,"663,000"
"Gamma(⅔) [Series-Pi (Brown)]",,16.553,"1,510,000",37.712,"1,320,000",85.299,"1,170,000",247.696,"1,000,000",553.962,"902,000",1288.871,"775,000"
"Gamma(⅙) [AGM-Pi]",,21.098,"1,180,000",45.506,"1,090,000",99.184,"1,000,000",290.654,"860,000",640.411,"780,000",1458.588,"685,000"
"Gamma(⅙) [Series-Pi (Brown)]",,16.619,"1,500,000",37.707,"1,320,000",85.007,"1,170,000",247.785,"1,000,000",555.950,"899,000",1300.624,"768,000"
"Gamma(⅚) [AGM-Pi]",,21.022,"1,180,000",45.474,"1,090,000",99.484,"1,000,000",292.742,"853,000",645.569,"774,000",1410.559,"708,000"
"Gamma(⅚) [Series-Pi (Brown)]",,16.238,"1,530,000",36.879,"1,350,000",83.653,"1,190,000",242.776,"1,020,000",545.032,"917,000",1237.724,"807,000"
"Gauss [AGM]",,13.739,"1,810,000",29.219,"1,710,000",62.836,"1,590,000",185.334,"1,340,000",404.582,"1,230,000",876.893,"1,140,000"
"Gauss [Series]",,30.729,"813,000",69.908,"715,000",158.318,"631,000",462.496,"540,000",1047.770,"477,000",2369.128,"422,000"
"Golden Ratio [newton]",5,0.479,"52,100,000",1.032,"48,400,000",2.236,"44,700,000",6.095,"41,000,000",13.408,"37,200,000",29.339,"34,000,000"
"Khinchin-Levy [Definition]",,15.176,"1,640,000",34.736,"1,430,000",78.244,"1,270,000",226.416,"1,100,000",514.081,"972,000",1152.938,"867,000"
"Lemniscate [Series-Pi]",9,36.633,"682,000",83.717,"597,000",189.501,"527,000",557.636,"448,000",1257.467,"397,000",2816.662,"355,000"
"Lemniscate Constant [agm-pi]",9,17.555,"1,420,000",38.549,"1,290,000",82.987,"1,200,000",243.893,"1,020,000",536.967,"931,000",1163.188,"859,000"
"Log(10) [machin-primary]",12,12.605,"1,980,000",28.874,"1,730,000",64.867,"1,540,000",188.232,"1,320,000",422.920,"1,180,000",947.592,"1,050,000"
"Log(10) [machin-secondary]",12,13.346,"1,870,000",30.500,"1,630,000",69.175,"1,440,000",201.282,"1,240,000",453.880,"1,100,000",1016.013,"984,000"
"Log(2) [machin-primary]",6,11.080,"2,250,000",25.121,"1,990,000",57.405,"1,740,000",166.543,"1,500,000",378.338,"1,320,000",849.059,"1,170,000"
"Log(2) [machin-secondary]",6,12.556,"1,990,000",28.549,"1,750,000",64.890,"1,540,000",188.722,"1,320,000",422.408,"1,180,000",949.047,"1,050,000"
"Log(3) [machin-primary]",,12.637,"1,970,000",28.732,"1,740,000",65.145,"1,530,000",187.786,"1,330,000",424.170,"1,170,000",948.375,"1,050,000"
"Log(3) [machin-secondary]",,13.089,"1,910,000",29.973,"1,660,000",68.243,"1,460,000",197.858,"1,260,000",444.883,"1,120,000",993.572,"1,000,000"
"Log(5) [machin-primary]",,12.533,"1,990,000",28.591,"1,740,000",64.886,"1,540,000",188.021,"1,320,000",423.391,"1,180,000",946.327,"1,050,000"
"Log(5) [machin-secondary]",,13.127,"1,900,000",29.917,"1,670,000",67.914,"1,470,000",197.050,"1,260,000",443.373,"1,120,000",991.106,"1,000,000"
"Log(7) [machin-primary]",,12.604,"1,980,000",28.539,"1,750,000",65.174,"1,530,000",188.830,"1,320,000",423.451,"1,180,000",947.053,"1,050,000"
"Log(7) [machin-secondary]",,13.100,"1,900,000",30.230,"1,650,000",67.495,"1,480,000",197.145,"1,260,000",443.414,"1,120,000",994.885,"1,000,000"
"Log(Pi) [Definition]",,41.183,"607,000",89.590,"558,000",195.678,"511,000",575.893,"434,000",1287.934,"388,000",2815.097,"355,000"
"Log10(2) [Machin (4 terms)]",,12.874,"1,940,000",29.051,"1,720,000",66.057,"1,510,000",190.573,"1,310,000",429.334,"1,160,000",960.027,"1,040,000"
"Pi [chudnovsky]",1,4.125,"6,060,000",9.430,"5,300,000",21.148,"4,720,000",61.867,"4,040,000",137.843,"3,620,000",309.809,"3,220,000"
"Pi^-1 [Native]",,4.133,"6,040,000",9.453,"5,280,000",21.218,"4,710,000",62.125,"4,020,000",138.203,"3,610,000",310.935,"3,210,000"
"Sin(1) [Series]",,1.457,"17,100,000",3.229,"15,400,000",7.008,"14,200,000",19.767,"12,600,000",43.103,"11,600,000",94.057,"10,600,000"
"Sin(1) [Triple Angle Formula]",,1.618,"15,400,000",3.535,"14,100,000",7.612,"13,100,000",21.688,"11,500,000",47.091,"10,600,000",102.131,"9,790,000"
"Sqrt(125) [newton]",5,0.478,"52,300,000",1.025,"48,700,000",2.230,"44,800,000",6.121,"40,800,000",13.344,"37,400,000",29.355,"34,000,000"
"Sqrt(2) [newton]",4,0.479,"52,100,000",1.030,"48,500,000",2.230,"44,800,000",6.108,"40,900,000",13.321,"37,500,000",29.090,"34,300,000"
"Sqrt(200) [newton]",4,0.478,"52,300,000",1.030,"48,500,000",2.230,"44,800,000",6.132,"40,700,000",13.405,"37,200,000",29.300,"34,100,000"
"Sqrt(325) [newton]",,0.478,"52,300,000",1.020,"49,000,000",2.232,"44,800,000",6.095,"41,000,000",13.416,"37,200,000",29.312,"34,100,000"
"Sqrt(Pi) [Simple]",,4.407,"5,670,000",10.040,"4,980,000",22.527,"4,430,000",65.659,"3,800,000",146.109,"3,420,000",327.144,"3,050,000"
"Universal Parabolic Constant [Definition]",,41.466,"602,000",90.491,"552,000",197.841,"505,000",580.118,"430,000",1286.486,"388,000",2816.330,"355,000"
"Unnormalized Fresnel C(1) [Series]",,2.669,"9,360,000",5.837,"8,560,000",12.697,"7,870,000",35.194,"7,100,000",76.699,"6,510,000",166.097,"6,020,000"
"Unnormalized Fresnel S(1) [Series]",,2.655,"9,410,000",5.767,"8,670,000",12.621,"7,920,000",35.212,"7,090,000",76.387,"6,540,000",165.823,"6,030,000"
"Zeta(2) [Chudnovsky]",,4.187,"5,970,000",9.455,"5,280,000",21.344,"4,680,000",61.859,"4,040,000",137.190,"3,640,000",309.409,"3,230,000"
"Zeta(2) [Direct]",,6.217,"4,020,000",14.036,"3,560,000",32.315,"3,090,000",94.219,"2,650,000",212.057,"2,350,000",481.691,"2,070,000"
"Zeta(3) - Apery's Constant [az]",7,19.364,"1,290,000",44.828,"1,110,000",102.594,"974,000",303.672,"823,000",693.432,"721,000",1581.105,"632,000"
"Zeta(3) - Apery's Constant [wedeniwski]",7,18.661,"1,330,000",42.900,"1,160,000",97.929,"1,020,000",292.268,"855,000",661.744,"755,000",1510.384,"662,000"
"Zeta(4) [Chudnovsky]",,4.218,"5,920,000",9.639,"5,180,000",21.756,"4,590,000",62.753,"3,980,000",139.545,"3,580,000",313.777,"3,180,000"
"Zeta(4) [Direct]",,6.258,"3,990,000",14.127,"3,530,000",32.648,"3,060,000",95.281,"2,620,000",214.303,"2,330,000",485.737,"2,050,000"
"Zeta(5) [BBP-Kruse]",13,177.160,"141,000",401.474,"124,000",910.561,"109,000",2692.875,"92,800",6096.765,"82,000",13641.530,"73,300"
"Zeta(5) [Broadhurst (optimized)]",13,335.467,"74,500",765.820,"65,200",1742.118,"57,400",5103.569,"48,900",11604.083,"43,000",26251.254,"38,000"
"e [exp(-1)]",2,1.373,"18,200,000",3.043,"16,400,000",6.574,"15,200,000",18.910,"13,200,000",41.598,"12,000,000",91.699,"10,900,000"
"e [exp(1)]",2,1.376,"18,100,000",3.023,"16,500,000",6.644,"15,000,000",18.909,"13,200,000",41.627,"12,000,000",91.938,"10,800,000"
